feature,importance
GenHlth,0.4057037989055017
HighBP,0.23023108811671647
BMI,0.11934968791137686
Age,0.10031897524839206
HighChol,0.06961956783538124
HeartDiseaseorAttack,0.015995314834452115
Income,0.01155709348726191
DiffWalk,0.01094394734517044
HvyAlcoholConsump,0.01033649587933377
CholCheck,0.009506090964555331
Sex,0.007966460351445272
Education,0.002223281926629717
Stroke,0.0017577762147832645
PhysHlth,0.001752483688417967
MentHlth,0.0015668015159972456
Smoker,0.0004018727605985992
Fruits,0.000341788142785938
PhysActivity,0.00013581185263289306
NoDocbcCost,0.0001249713295836654
Veggies,8.35950742337057e-05
AnyHealthcare,8.309661474955103e-05
